"V1" "V2" "V3" "V4" "V5"
"1" 3.05823747890539 60652.134089 2.90142159408275 3.74950407593037 3.91202300542815
"2" 3.09255645818953 81126.503289 2.97552956623647 3.89589362349826 6.04025471127741
"3" 2.98517675961447 75151.448 3.06805293513362 3.68887945411394 4.24849524204936
"4" 3.01062088604774 55889.0193703702 3.05823747890539 3.57971541793771 3.91202300542815
"5" 3.0410242627457 59167.0299629631 3.0476920124847 3.6401267892414 3.68887945411394
"6" 2.89958841300109 65939.264 3.02042488614436 3.60277675506052 4.60517018598809
"7" 2.95491027903374 59455.995327 2.97552956623647 3.51927666972776 4.60517018598809
"8" 2.96303689071585 84604.519 2.81540871942271 3.824065726669 4.49980967033027
"9" 2.94968833505258 55422.5510989631 3.05541527571516 3.58988750490699 3.68887945411394
"10" 3.33932197794407 21336.908064256 3.16926532431487 3.57766852477793 4.60517018598809
"11" 2.93863268151342 70393.838689 2.94443897916644 3.71275872790388 3.68887945411394
"12" 3.396408153819 32127.104339 3.22286784613774 3.68286138178837 3.91202300542815
"13" 2.92852352386054 82123.7949629631 3.05400118167797 3.6451887654892 4.0943445622221
"14" 2.99021709286588 89314.623 3.10009228887823 3.68887945411394 3.91202300542815
"15" 3.00071981506503 65580.8401922965 3.00071981506503 3.61711488788463 4.0943445622221
"16" 3.25385679376345 33594.0456296297 3.11794990627824 3.639163861868 3.91202300542815
"17" 2.79259557704611 74229.2096189631 2.9704144655697 3.57360888456959 3.91202300542815
"18" 3.08602991153477 82824.840279 3.01504458458636 3.8138955274302 4.49980967033027
"19" 2.99739755287305 46397.2797037036 3.01012815383772 3.56359963768718 4.70048036579242
"20" 3.10413814739778 66430.125 3.07114891283875 3.78547668410161 4.9416424226093
"21" 3.10009228887823 77854.483 3.01863466677129 3.83218583218652 4.60517018598809
"22" 2.97552956623647 57200.131477 3.07731226054641 3.52211623623583 4.49980967033027
"23" 3.00403107636869 83970.131939 3.02529107579554 3.64805745959368 3.40119738166216
"24" 3.11351530921037 69426.531 3.08145114895653 3.76953735713139 5.88610403145016
"25" 2.97989320952425 51746.1928983235 2.94968833505258 3.56582361304835 4.49980967033027
"26" 3.10712456144354 74246.873427 3.00071981506503 3.86136109062592 4.86753445045558
"27" 3.01504458458636 93576.664 2.98517675961447 3.8464528412187 3.91202300542815
"28" 3.00864849882054 43949.604889 3.12236492448736 3.49650756146648 4.0943445622221
"29" 3.02042488614436 59319 3.12632184325759 3.55791618959512 4.38202663467388
"30" 2.89037175789616 64787.2056907035 2.99021709286588 3.53805656437935 4.60517018598809
"31" 2.98061863574394 49282.8530740369 2.99573227355399 3.56104608260405 3.91202300542815
"32" 3.25809653802148 72511.713 3.20680324363393 3.8155121050473 5.39362754635236
"33" 3.26575941076705 68921 3.20680324363393 3.81470414290412 4.24849524204936
"34" 3.16926532431487 58230.605376 3.05242761723054 3.75490124965593 4.24849524204936
