"V2" "V3" "V4" "V5" "V6" "V7"
"1" 21.29 39.29 18.2 42.5 751.8 50
"2" 22.0333333333333 43.29 19.6 49.2 760.1 420
"3" 19.79 42.2 21.5 40 750.066666666667 70
"4" 20.3 38.2333333333333 21.29 35.8633333333333 764.483333333333 50
"5" 20.9266666666667 38.9666666666667 21.0666666666667 38.0966666666667 764.4 40
"6" 18.1666666666667 40.4 20.5 36.7 746.933333333333 100
"7" 19.2 39.03 19.6 33.76 762.466666666667 100
"8" 19.3566666666667 43.9 16.7 45.79 762.25 90
"9" 19.1 38.1266666666667 21.23 36.23 755.766666666667 40
"10" 28.2 27.736 23.79 35.79 752.416666666667 100
"11" 18.89 41.29 19 40.9666666666667 755.833333333333 40
"12" 29.8566666666667 31.79 25.1 39.76 752.1 50
"13" 18.7 43.4666666666667 21.2 38.29 756.9 60
"14" 19.89 44.7 22.2 40 751.633333333333 50
"15" 20.1 40.3266666666667 20.1 37.23 761.333333333333 60
"16" 25.89 32.2666666666667 22.6 38.06 763.333333333333 50
"17" 16.3233333333333 42.0266666666667 19.5 35.645 756.9 50
"18" 21.89 43.59 20.39 45.3266666666667 762.1 90
"19" 20.0333333333333 35.9333333333333 20.29 35.29 754.333333333333 110
"20" 22.29 40.5 21.5666666666667 44.0566666666667 748.8 140
"21" 22.2 42.7 20.4633333333333 46.1633333333333 762.833333333333 100
"22" 19.6 38.53 21.7 33.856 758.066666666667 90
"23" 20.1666666666667 43.79 20.6 38.4 750.133333333333 30
"24" 22.5 41.1 21.79 43.36 749.8 360
"25" 19.6857142857143 37.2642857142857 19.1 35.3685714285714 739.366666666667 90
"26" 22.3566666666667 42.03 20.1 47.53 748.7 130
"27" 20.39 45.4 19.79 46.8266666666667 763.7 50
"28" 20.26 35.29 22.7 33 764.5 60
"29" 20.5 39 22.79 35.09 760.233333333333 80
"30" 18 40.1633333333333 19.89 34.4 762.05 100
"31" 19.7 36.6633333333333 20 35.2 760.5 50
"32" 26 41.7 24.7 45.4 755.35 220
"33" 26.2 41 24.7 45.3633333333333 755.75 70
"34" 23.79 38.76 21.1666666666667 42.73 752.433333333333 70
"35" 20.89 43.334 23.1 38.56 753.866666666667 60
"36" 18.23 40.2 19.8566666666667 35.76 755 170
"37" 25.6 43.9 25.5 44.79 750.15 60
"38" 19.8233333333333 36.73 20 35.53 742.566666666667 90
"39" 23.0220779220779 39.0233766233766 23.8224675324675 39.0948051948052 757 50
"40" 18.5666666666667 34.59 18.89 33.4 756.05 50
"41" 18.39 38.9 19.5333333333333 37.56 743.366666666667 50
"42" 19 38.5 19.6 35.79 772.266666666667 120
"43" 20.39 42.6566666666667 19.79 42.5 729.866666666667 350
"44" 19.89 41.9333333333333 21.1 37.6214285714286 748.55 90
"45" 18.4633333333333 42.1633333333333 20 38.9 758.95 20
"46" 19.1666666666667 38.79 19.39 39.59 741 60
"47" 21 42.536 22.89 40.29 757.7 60
"48" 18.39 39.3633333333333 21 36.73 744.85 130
"49" 21.9566666666667 39.1933333333333 21.79 38.4666666666667 762.266666666667 60
"50" 17.89 37.3266666666667 17.89 36.2666666666667 759.8 60
"51" 17.6 39.59 17.745 37.95 754.45 40
"52" 20.7 43.1266666666667 22.89 38.59 751.533333333333 60
"53" 19.79 37.2 20.29 36.7 756.133333333333 80
"54" 20.1666666666667 33.0666666666667 20.7 33.6266666666667 756.3 240
"55" 20.39 37.9333333333333 20.1 37.79 755.95 120
"56" 21.39 41.09 20.7 43.2 744.366666666667 30
"57" 23.5333333333333 39.06 24.29 40.57 757.866666666667 120
"58" 18.3718181818182 43.84 18.6333333333333 44.1266666666667 751 50
"59" 18.6 38.2 18.26 38.09 762.2 60
"60" 21.1 44.1933333333333 21.6 42.29 754 90
"61" 19.2 40.26 21.79 35.59 767.416666666667 60
"62" 19.73 39.3266666666667 19.39 40.6266666666667 741.9 50
"63" 20.89 37.09 19.6 37.6 755.866666666667 70
"64" 20.1 35.9333333333333 19.73 35.39 769.766666666667 110
"65" 19.2 45 19 46.7 761.4 50
"66" 20.79 41.9 20.79 37.9 753.8 640
"67" 21 47.1933333333333 21.89 40.156 748.583333333333 100
"68" 22.39 41 19.29 41.6266666666667 737.55 150
"69" 18.1 39.2 17.89 38.26 758.788888888889 40
"70" 18.79 39.09 21.8566666666667 33.4 766.683333333333 60
"71" 18.39 43.8333333333333 19.89 38.9333333333333 753.3 60
"72" 17.2 44.2 17 43.59 763.866666666667 40
"73" 26.7771428571429 39.5671428571429 24.4633333333333 44.3633333333333 756.15 620
"74" 20.8233333333333 42.8933333333333 22.73 39.73 754.35 60
"75" 16.79 37.1633333333333 16.79 36.29 764.033333333333 50
"76" 18.2 38.9666666666667 21.0142857142857 32.7 758.016666666667 60
"77" 20 39.56 20.7633333333333 41.9 764.566666666667 390
